event_date,region,plan,channel,invoice_id,seats,unit_price,line_total,invoice_total
2026-04-13,West,Newsroom Pro,partner,INV-4194,5,59.0,295.0,503.0
2026-04-13,West,Print + Digital,partner,INV-4194,2,34.0,68.0,503.0
2026-04-13,West,Newsroom Pro,partner,INV-4194,2,59.0,118.0,503.0
2026-04-13,West,Digital Plus,partner,INV-4194,1,22.0,22.0,503.0
2026-05-21,Midwest,Print + Digital,campus desk,INV-4196,1,34.0,34.0,42.0
2026-05-21,Midwest,Campus,campus desk,INV-4196,1,8.0,8.0,42.0
2026-04-01,Northeast,Print + Digital,partner,INV-4199,2,34.0,68.0,102.0
2026-04-01,Northeast,Digital Basic,partner,INV-4199,1,12.0,12.0,102.0
2026-04-01,Northeast,Digital Plus,partner,INV-4199,1,22.0,22.0,102.0
2026-04-28,Midwest,Print + Digital,partner,INV-4200,1,34.0,34.0,34.0
2026-06-20,Midwest,Digital Plus,app store,INV-4203,1,22.0,22.0,22.0
2026-05-28,Northeast,Print + Digital,direct,INV-4205,1,34.0,34.0,34.0
2026-06-15,Midwest,Print + Digital,campus desk,INV-4206,1,34.0,34.0,234.0
2026-06-15,Midwest,Campus,campus desk,INV-4206,25,8.0,200.0,234.0
2026-06-09,Northeast,Digital Basic,app store,INV-4207,2,12.0,24.0,24.0
2026-04-25,South,Digital Plus,app store,INV-4210,1,22.0,22.0,22.0
2026-05-22,International,Digital Basic,app store,INV-4213,2,12.0,24.0,24.0
2026-06-28,South,Print + Digital,app store,INV-4215,2,34.0,68.0,700.0
2026-06-28,South,Newsroom Pro,app store,INV-4215,10,59.0,590.0,700.0
2026-06-28,South,Print + Digital,app store,INV-4215,1,34.0,34.0,700.0
2026-06-28,South,Campus,app store,INV-4215,1,8.0,8.0,700.0
2026-05-01,South,Print + Digital,partner,INV-4217,10,34.0,340.0,348.0
2026-05-01,South,Campus,partner,INV-4217,1,8.0,8.0,348.0
2026-05-07,International,Campus,campus desk,INV-4220,5,8.0,40.0,48.0
2026-05-07,International,Campus,campus desk,INV-4220,1,8.0,8.0,48.0
2026-06-10,Northeast,Digital Plus,partner,INV-4223,1,22.0,22.0,22.0
2026-06-26,South,Digital Basic,partner,INV-4224,1,12.0,12.0,12.0
2026-06-29,Northeast,Print + Digital,campus desk,INV-4227,5,34.0,170.0,254.0
2026-06-29,Northeast,Print + Digital,campus desk,INV-4227,2,34.0,68.0,254.0
2026-06-29,Northeast,Campus,campus desk,INV-4227,2,8.0,16.0,254.0
2026-04-15,Midwest,Newsroom Pro,app store,INV-4228,10,59.0,590.0,670.0
2026-04-15,Midwest,Campus,app store,INV-4228,10,8.0,80.0,670.0
2026-06-03,South,Digital Basic,partner,INV-4229,1,12.0,12.0,336.0
2026-06-03,South,Digital Basic,partner,INV-4229,25,12.0,300.0,336.0
2026-06-03,South,Digital Basic,partner,INV-4229,2,12.0,24.0,336.0
2026-05-05,Midwest,Digital Plus,partner,INV-4231,2,22.0,44.0,44.0
2026-06-22,Northeast,Campus,campus desk,INV-4234,5,8.0,40.0,40.0
2026-05-13,Midwest,Newsroom Pro,direct,INV-4235,10,59.0,590.0,1148.0
2026-05-13,Midwest,Digital Plus,direct,INV-4235,25,22.0,550.0,1148.0
2026-05-13,Midwest,Campus,direct,INV-4235,1,8.0,8.0,1148.0
2026-04-07,West,Campus,app store,INV-4237,1,8.0,8.0,230.0
2026-04-07,West,Campus,app store,INV-4237,25,8.0,200.0,230.0
2026-04-07,West,Digital Plus,app store,INV-4237,1,22.0,22.0,230.0
2026-05-06,West,Newsroom Pro,partner,INV-4239,1,59.0,59.0,59.0
2026-05-29,Midwest,Print + Digital,app store,INV-4241,2,34.0,68.0,148.0
2026-05-29,Midwest,Campus,app store,INV-4241,10,8.0,80.0,148.0
2026-04-02,South,Digital Basic,app store,INV-4244,2,12.0,24.0,76.0
2026-04-02,South,Digital Plus,app store,INV-4244,2,22.0,44.0,76.0
2026-04-02,South,Campus,app store,INV-4244,1,8.0,8.0,76.0
2026-05-17,Northeast,Print + Digital,partner,INV-4245,1,34.0,34.0,34.0
2026-06-06,International,Digital Plus,app store,INV-4247,2,22.0,44.0,44.0
2026-06-04,West,Print + Digital,campus desk,INV-4250,1,34.0,34.0,268.0
2026-06-04,West,Campus,campus desk,INV-4250,25,8.0,200.0,268.0
2026-06-04,West,Print + Digital,campus desk,INV-4250,1,34.0,34.0,268.0
2026-04-26,Northeast,Campus,direct,INV-4251,1,8.0,8.0,355.0
2026-04-26,Northeast,Digital Basic,direct,INV-4251,1,12.0,12.0,355.0
2026-04-26,Northeast,Campus,direct,INV-4251,5,8.0,40.0,355.0
2026-04-26,Northeast,Newsroom Pro,direct,INV-4251,5,59.0,295.0,355.0
2026-06-07,Midwest,Digital Basic,app store,INV-4252,1,12.0,12.0,12.0
2026-04-10,International,Newsroom Pro,direct,INV-4255,2,59.0,118.0,142.0
2026-04-10,International,Digital Basic,direct,INV-4255,2,12.0,24.0,142.0
2026-06-18,Northeast,Digital Plus,direct,INV-4258,1,22.0,22.0,74.0
2026-06-18,Northeast,Digital Plus,direct,INV-4258,2,22.0,44.0,74.0
2026-06-18,Northeast,Campus,direct,INV-4258,1,8.0,8.0,74.0
2026-05-02,Northeast,Print + Digital,direct,INV-4260,2,34.0,68.0,207.0
2026-05-02,Northeast,Campus,direct,INV-4260,10,8.0,80.0,207.0
2026-05-02,Northeast,Newsroom Pro,direct,INV-4260,1,59.0,59.0,207.0
2026-04-14,Northeast,Digital Plus,app store,INV-4263,25,22.0,550.0,570.0
2026-04-14,Northeast,Digital Basic,app store,INV-4263,1,12.0,12.0,570.0
2026-04-14,Northeast,Campus,app store,INV-4263,1,8.0,8.0,570.0
2026-05-12,International,Digital Basic,campus desk,INV-4264,1,12.0,12.0,802.0
2026-05-12,International,Campus,campus desk,INV-4264,10,8.0,80.0,802.0
2026-05-12,International,Newsroom Pro,campus desk,INV-4264,10,59.0,590.0,802.0
2026-05-12,International,Digital Basic,campus desk,INV-4264,10,12.0,120.0,802.0
2026-05-15,South,Digital Basic,direct,INV-4266,2,12.0,24.0,24.0
2026-06-19,Midwest,Digital Plus,app store,INV-4269,1,22.0,22.0,22.0
2026-04-30,International,Digital Plus,app store,INV-4271,2,22.0,44.0,162.0
2026-04-30,International,Newsroom Pro,app store,INV-4271,2,59.0,118.0,162.0
2026-05-30,Midwest,Newsroom Pro,partner,INV-4274,2,59.0,118.0,118.0
2026-05-20,South,Digital Basic,app store,INV-4276,1,12.0,12.0,12.0
2026-04-20,West,Digital Basic,partner,INV-4277,2,12.0,24.0,24.0
2026-04-17,West,Newsroom Pro,app store,INV-4278,1,59.0,59.0,59.0
2026-06-14,International,Digital Basic,app store,INV-4280,1,12.0,12.0,164.0
2026-06-14,International,Newsroom Pro,app store,INV-4280,1,59.0,59.0,164.0
2026-06-14,International,Newsroom Pro,app store,INV-4280,1,59.0,59.0,164.0
2026-06-14,International,Print + Digital,app store,INV-4280,1,34.0,34.0,164.0
2026-05-19,International,Digital Plus,partner,INV-4282,1,22.0,22.0,22.0
2026-05-24,Northeast,Newsroom Pro,campus desk,INV-4285,2,59.0,118.0,118.0
2026-05-08,Midwest,Campus,direct,INV-4287,1,8.0,8.0,8.0
2026-06-17,Northeast,Digital Basic,direct,INV-4288,5,12.0,60.0,60.0
2026-05-23,West,Newsroom Pro,direct,INV-4291,1,59.0,59.0,251.0
2026-05-23,West,Digital Plus,direct,INV-4291,1,22.0,22.0,251.0
2026-05-23,West,Print + Digital,direct,INV-4291,5,34.0,170.0,251.0
2026-05-14,Midwest,Newsroom Pro,campus desk,INV-4294,1,59.0,59.0,59.0
2026-06-24,South,Newsroom Pro,app store,INV-4296,2,59.0,118.0,236.0
2026-06-24,South,Newsroom Pro,app store,INV-4296,2,59.0,118.0,236.0
2026-06-23,Midwest,Digital Plus,campus desk,INV-4299,1,22.0,22.0,42.0
2026-06-23,Midwest,Campus,campus desk,INV-4299,1,8.0,8.0,42.0
2026-06-23,Midwest,Digital Basic,campus desk,INV-4299,1,12.0,12.0,42.0
2026-04-09,Midwest,Digital Plus,campus desk,INV-4302,1,22.0,22.0,103.0
2026-04-09,Midwest,Newsroom Pro,campus desk,INV-4302,1,59.0,59.0,103.0
2026-04-09,Midwest,Digital Plus,campus desk,INV-4302,1,22.0,22.0,103.0
2026-04-06,West,Campus,campus desk,INV-4305,1,8.0,8.0,8.0
2026-04-08,South,Digital Plus,app store,INV-4307,2,22.0,44.0,44.0
4/19/2026,South,Newsroom Pro,app store,INV-4309,1,59.0,59.0,130.0
4/19/2026,South,Newsroom Pro,app store,INV-4309,1,59.0,59.0,130.0
4/19/2026,South,Digital Basic,app store,INV-4309,1,12.0,12.0,130.0
2026-04-04,International,Print + Digital,campus desk,INV-4312,25,34.0,850.0,1474.0
2026-04-04,International,Print + Digital,campus desk,INV-4312,1,34.0,34.0,1474.0
2026-04-04,International,Newsroom Pro,campus desk,INV-4312,10,59.0,590.0,1474.0
2026-04-05,International,Newsroom Pro,partner,INV-4313,2,59.0,118.0,126.0
2026-04-05,International,Campus,partner,INV-4313,1,8.0,8.0,126.0
2026-06-25,International,Campus,campus desk,INV-4315,1,8.0,8.0,716.0
2026-06-25,International,Newsroom Pro,campus desk,INV-4315,1,59.0,59.0,716.0
2026-06-25,International,Newsroom Pro,campus desk,INV-4315,10,59.0,590.0,716.0
2026-06-25,International,Newsroom Pro,campus desk,INV-4315,1,59.0,59.0,716.0
2026-06-16,Midwest,Print + Digital,partner,INV-4317,1,34.0,34.0,56.0
2026-06-16,Midwest,Digital Plus,partner,INV-4317,1,22.0,22.0,56.0
2026-04-21,South,Digital Basic,direct,INV-4318,2,12.0,24.0,586.0
2026-04-21,South,Digital Basic,direct,INV-4318,1,12.0,12.0,586.0
2026-04-21,South,Digital Plus,direct,INV-4318,25,22.0,550.0,586.0
2026-05-27,International,Campus,app store,INV-4319,2,8.0,16.0,50.0
2026-05-27,International,Print + Digital,app store,INV-4319,1,34.0,34.0,50.0
2026-04-18,International,Newsroom Pro,partner,INV-4320,1,59.0,59.0,75.0
2026-04-18,International,Campus,partner,INV-4320,2,8.0,16.0,75.0
2026-06-11,Northeast,Newsroom Pro,partner,INV-4322,2,59.0,118.0,126.0
2026-06-11,Northeast,Campus,partner,INV-4322,1,8.0,8.0,126.0
2026-05-03,South,Print + Digital,campus desk,INV-4323,1,34.0,34.0,56.0
2026-05-03,South,Digital Plus,campus desk,INV-4323,1,22.0,22.0,56.0
2026-06-05,Northeast,Newsroom Pro,campus desk,INV-4324,25,59.0,1475.0,1554.0
2026-06-05,Northeast,Campus,campus desk,INV-4324,1,8.0,8.0,1554.0
2026-06-05,Northeast,Newsroom Pro,campus desk,INV-4324,1,59.0,59.0,1554.0
2026-06-05,Northeast,Digital Basic,campus desk,INV-4324,1,12.0,12.0,1554.0
2026-04-22,Northeast,Digital Basic,campus desk,INV-4327,1,12.0,12.0,36.0
2026-04-22,Northeast,Digital Basic,campus desk,INV-4327,2,12.0,24.0,36.0
2026-06-21,Northeast,Digital Basic,direct,INV-4328,1,12.0,12.0,46.0
2026-06-21,Northeast,Digital Plus,direct,INV-4328,1,22.0,22.0,46.0
2026-06-21,Northeast,Digital Basic,direct,INV-4328,1,12.0,12.0,46.0
2026-06-27,South,Print + Digital,app store,INV-4329,1,34.0,34.0,164.0
2026-06-27,South,Digital Basic,app store,INV-4329,1,12.0,12.0,164.0
2026-06-27,South,Newsroom Pro,app store,INV-4329,2,59.0,118.0,164.0
2026-06-30,Northeast,Newsroom Pro,direct,INV-4330,10,59.0,590.0,658.0
2026-06-30,Northeast,Print + Digital,direct,INV-4330,2,34.0,68.0,658.0
2026-04-12,Midwest,Newsroom Pro,direct,INV-4331,2,59.0,118.0,118.0
2026-04-03,South,Print + Digital,direct,INV-4334,25,34.0,850.0,870.0
2026-04-03,South,Digital Basic,direct,INV-4334,1,12.0,12.0,870.0
2026-04-03,South,Campus,direct,INV-4334,1,8.0,8.0,870.0
5/11/2026,South,Digital Plus,campus desk,INV-4337,5,22.0,110.0,110.0
2026-05-04,Midwest,Newsroom Pro,direct,INV-4340,1,59.0,59.0,91.0
2026-05-04,Midwest,Digital Basic,direct,INV-4340,2,12.0,24.0,91.0
2026-05-04,Midwest,Campus,direct,INV-4340,1,8.0,8.0,91.0
2026-06-01,South,Campus,partner,INV-4342,2,8.0,16.0,168.0
2026-06-01,South,Newsroom Pro,partner,INV-4342,1,59.0,59.0,168.0
2026-06-01,South,Newsroom Pro,partner,INV-4342,1,59.0,59.0,168.0
2026-06-01,South,Print + Digital,partner,INV-4342,1,34.0,34.0,168.0
6/8/2026,South,Digital Plus,direct,INV-4345,25,22.0,550.0,670.0
6/8/2026,South,Digital Basic,direct,INV-4345,5,12.0,60.0,670.0
6/8/2026,South,Digital Basic,direct,INV-4345,5,12.0,60.0,670.0
4/16/2026,Midwest,Digital Basic,direct,INV-4347,5,12.0,60.0,288.0
4/16/2026,Midwest,Digital Plus,direct,INV-4347,5,22.0,110.0,288.0
4/16/2026,Midwest,Newsroom Pro,direct,INV-4347,2,59.0,118.0,288.0
2026-04-27,Northeast,Print + Digital,app store,INV-4350,1,34.0,34.0,46.0
2026-04-27,Northeast,Digital Basic,app store,INV-4350,1,12.0,12.0,46.0
2026-04-11,Northeast,Newsroom Pro,partner,INV-4351,2,59.0,118.0,118.0
2026-05-18,International,Print + Digital,direct,INV-4354,1,34.0,34.0,94.0
2026-05-18,International,Digital Basic,direct,INV-4354,5,12.0,60.0,94.0
2026-04-29,South,Print + Digital,partner,INV-4357,1,34.0,34.0,34.0
2026-04-24,Northeast,Newsroom Pro,campus desk,INV-4360,2,59.0,118.0,118.0
2026-05-26,Northeast,Print + Digital,campus desk,INV-4362,2,34.0,68.0,68.0
2026-05-09,International,Digital Basic,app store,INV-4365,2,12.0,24.0,24.0
2026-04-23,Midwest,Digital Plus,app store,INV-4368,2,22.0,44.0,44.0
2026-05-10,International,Campus,partner,INV-4369,2,8.0,16.0,16.0
2026-05-25,International,Digital Plus,app store,INV-4372,5,22.0,110.0,110.0
2026-05-16,Midwest,Digital Basic,campus desk,INV-4375,2,12.0,24.0,36.0
2026-05-16,Midwest,Digital Basic,campus desk,INV-4375,1,12.0,12.0,36.0
6/13/2026,West,Print + Digital,app store,INV-4377,1,34.0,34.0,102.0
6/13/2026,West,Print + Digital,app store,INV-4377,2,34.0,68.0,102.0
2026-06-02,Northeast,Digital Plus,app store,INV-4380,1,22.0,22.0,140.0
2026-06-02,Northeast,Newsroom Pro,app store,INV-4380,2,59.0,118.0,140.0
2026-05-31,South,Newsroom Pro,partner,INV-4382,1,59.0,59.0,89.0
2026-05-31,South,Digital Plus,partner,INV-4382,1,22.0,22.0,89.0
2026-05-31,South,Campus,partner,INV-4382,1,8.0,8.0,89.0
2026-06-12,Northeast,Campus,partner,INV-4384,5,8.0,40.0,40.0
2026-04-13,South,Campus,campus desk,INV-4385,1,8.0,8.0,82.0
2026-04-13,South,Print + Digital,campus desk,INV-4385,1,34.0,34.0,82.0
2026-04-13,South,Campus,campus desk,INV-4385,5,8.0,40.0,82.0
2026-05-21,Midwest,Campus,direct,INV-4387,1,8.0,8.0,8.0
2026-04-01,South,Print + Digital,direct,INV-4389,1,34.0,34.0,34.0
2026-04-28,Midwest,Digital Basic,partner,INV-4392,1,12.0,12.0,12.0
2026-06-20,International,Digital Basic,direct,INV-4394,1,12.0,12.0,71.0
2026-06-20,International,Newsroom Pro,direct,INV-4394,1,59.0,59.0,71.0
2026-05-28,South,Print + Digital,campus desk,INV-4395,5,34.0,170.0,192.0
2026-05-28,South,Digital Plus,campus desk,INV-4395,1,22.0,22.0,192.0
2026-06-15,South,Campus,campus desk,INV-4396,5,8.0,40.0,108.0
2026-06-15,South,Print + Digital,campus desk,INV-4396,2,34.0,68.0,108.0
2026-06-09,South,Print + Digital,partner,INV-4397,1,34.0,34.0,34.0
2026-04-25,Northeast,Campus,partner,INV-4400,5,8.0,40.0,168.0
2026-04-25,Northeast,Campus,partner,INV-4400,1,8.0,8.0,168.0
2026-04-25,Northeast,Digital Basic,partner,INV-4400,10,12.0,120.0,168.0
2026-05-22,Northeast,Digital Basic,app store,INV-4402,1,12.0,12.0,28.0
2026-05-22,Northeast,Campus,app store,INV-4402,2,8.0,16.0,28.0
2026-06-28,South,Digital Basic,app store,INV-4405,1,12.0,12.0,122.0
2026-06-28,South,Digital Plus,app store,INV-4405,5,22.0,110.0,122.0
2026-05-01,South,Campus,partner,INV-4406,1,8.0,8.0,8.0
5/7/2026,West,Newsroom Pro,direct,INV-4407,1,59.0,59.0,118.0
5/7/2026,West,Newsroom Pro,direct,INV-4407,1,59.0,59.0,118.0
2026-06-10,Northeast,Digital Basic,campus desk,INV-4410,1,12.0,12.0,409.0
2026-06-10,Northeast,Digital Plus,campus desk,INV-4410,1,22.0,22.0,409.0
2026-06-10,Northeast,Newsroom Pro,campus desk,INV-4410,5,59.0,295.0,409.0
2026-06-10,Northeast,Campus,campus desk,INV-4410,10,8.0,80.0,409.0
2026-06-26,Midwest,Newsroom Pro,direct,INV-4412,1,59.0,59.0,75.0
2026-06-26,Midwest,Campus,direct,INV-4412,2,8.0,16.0,75.0
2026-06-29,Northeast,Print + Digital,partner,INV-4413,5,34.0,170.0,186.0
2026-06-29,Northeast,Campus,partner,INV-4413,2,8.0,16.0,186.0
2026-04-15,West,Digital Basic,partner,INV-4415,2,12.0,24.0,24.0
2026-06-03,Midwest,Digital Plus,partner,INV-4418,1,22.0,22.0,94.0
2026-06-03,Midwest,Digital Plus,partner,INV-4418,1,22.0,22.0,94.0
2026-06-03,Midwest,Campus,partner,INV-4418,2,8.0,16.0,94.0
2026-06-03,Midwest,Print + Digital,partner,INV-4418,1,34.0,34.0,94.0
2026-05-05,South,Digital Plus,app store,INV-4421,2,22.0,44.0,52.0
2026-05-05,South,Campus,app store,INV-4421,1,8.0,8.0,52.0
6/22/2026,West,Print + Digital,direct,INV-4423,1,34.0,34.0,34.0
5/13/2026,Northeast,Print + Digital,partner,INV-4425,1,34.0,34.0,110.0
5/13/2026,Northeast,Print + Digital,partner,INV-4425,2,34.0,68.0,110.0
5/13/2026,Northeast,Campus,partner,INV-4425,1,8.0,8.0,110.0
2026-04-07,Northeast,Print + Digital,partner,INV-4426,1,34.0,34.0,34.0
2026-05-06,International,Digital Basic,direct,INV-4428,5,12.0,60.0,400.0
2026-05-06,International,Print + Digital,direct,INV-4428,10,34.0,340.0,400.0
2026-05-29,West,Campus,app store,INV-4429,1,8.0,8.0,68.0
2026-05-29,West,Digital Basic,app store,INV-4429,5,12.0,60.0,68.0
2026-04-02,Northeast,Newsroom Pro,app store,INV-4431,2,59.0,118.0,130.0
2026-04-02,Northeast,Digital Basic,app store,INV-4431,1,12.0,12.0,130.0
2026-05-17,South,Digital Basic,partner,INV-4433,25,12.0,300.0,595.0
2026-05-17,South,Newsroom Pro,partner,INV-4433,5,59.0,295.0,595.0
2026-06-06,International,Digital Plus,campus desk,INV-4434,10,22.0,220.0,220.0
2026-06-04,Northeast,Campus,app store,INV-4437,2,8.0,16.0,32.0
2026-06-04,Northeast,Campus,app store,INV-4437,2,8.0,16.0,32.0
2026-04-26,International,Print + Digital,campus desk,INV-4439,5,34.0,170.0,170.0
6/7/2026,International,Campus,campus desk,INV-4441,5,8.0,40.0,99.0
6/7/2026,International,Newsroom Pro,campus desk,INV-4441,1,59.0,59.0,99.0
2026-04-10,West,Print + Digital,app store,INV-4443,5,34.0,170.0,250.0
2026-04-10,West,Campus,app store,INV-4443,10,8.0,80.0,250.0
2026-06-18,International,Digital Basic,partner,INV-4446,1,12.0,12.0,60.0
2026-06-18,International,Campus,partner,INV-4446,5,8.0,40.0,60.0
2026-06-18,International,Campus,partner,INV-4446,1,8.0,8.0,60.0
2026-05-02,International,Newsroom Pro,partner,INV-4447,2,59.0,118.0,118.0
2026-04-14,West,Campus,campus desk,INV-4448,1,8.0,8.0,1483.0
2026-04-14,West,Newsroom Pro,campus desk,INV-4448,25,59.0,1475.0,1483.0
2026-05-12,Midwest,Digital Plus,campus desk,INV-4451,1,22.0,22.0,162.0
2026-05-12,Midwest,Newsroom Pro,campus desk,INV-4451,2,59.0,118.0,162.0
2026-05-12,Midwest,Digital Plus,campus desk,INV-4451,1,22.0,22.0,162.0
2026-05-15,West,Print + Digital,app store,INV-4452,1,34.0,34.0,46.0
2026-05-15,West,Digital Basic,app store,INV-4452,1,12.0,12.0,46.0
2026-06-19,Northeast,Campus,campus desk,INV-4454,1,8.0,8.0,110.0
2026-06-19,Northeast,Digital Plus,campus desk,INV-4454,1,22.0,22.0,110.0
2026-06-19,Northeast,Print + Digital,campus desk,INV-4454,2,34.0,68.0,110.0
2026-06-19,Northeast,Digital Basic,campus desk,INV-4454,1,12.0,12.0,110.0
2026-04-30,International,Digital Plus,partner,INV-4456,1,22.0,22.0,22.0
2026-05-30,Midwest,Print + Digital,direct,INV-4459,1,34.0,34.0,254.0
2026-05-30,Midwest,Digital Plus,direct,INV-4459,10,22.0,220.0,254.0
2026-05-20,International,Campus,campus desk,INV-4462,5,8.0,40.0,912.0
2026-05-20,International,Print + Digital,campus desk,INV-4462,25,34.0,850.0,912.0
2026-05-20,International,Digital Plus,campus desk,INV-4462,1,22.0,22.0,912.0
2026-04-20,South,Campus,app store,INV-4464,25,8.0,200.0,1734.0
2026-04-20,South,Newsroom Pro,app store,INV-4464,1,59.0,59.0,1734.0
2026-04-20,South,Newsroom Pro,app store,INV-4464,25,59.0,1475.0,1734.0
2026-04-17,Midwest,Campus,partner,INV-4465,1,8.0,8.0,8.0
2026-06-14,South,Newsroom Pro,app store,INV-4468,1,59.0,59.0,71.0
